ZIP,[PK]0304
RAR,[Rar!]1A0700
7Z,[7z]BCAF271C0002
MP3,[ID3]03
MP3,FEFB
MP3,FFE0&E0
ACE,[**ACE**],07
AVI,[RIFF]%s08[AVI LIST]~4[hdrlavih]
RM/RMVB,[.RMF]00*312000100*6
ISO/NRG,01[CD001],32768
MPEG Video,00*201ba
WMA/WMV,3026b2758e66cf11a6d900aa0062ce6c
JPEG,ffd8ffe0&FE00[JFIF]
PNG,89[PNG]0d0a1a0a
GIF,[GIF8]37/39[a]
PDF,[%PDF-1.]33/34/35/36
WIN/DOS EXE,[MZ]
MPC,[MP+]07
APE,[MAC]20960F00*23400*31800*3
Flac,[fLaC]00*32210001000*30E00
MS Office 2007,[PK]0304140006000800*32100
MS Office,D0CF11E0A1B11AE100*8
RichText File,[{\rtf1]
ICON,00*20100
SWF,[FWS]03%s00
MOV,00*2~2[moov]00*2~2[cmov]
XML,[<?xml],,t
Reg 4.0,[REGEDIT4],,t
Reg 5.0,[Windows Registry Editor Version 5.00],,t
