# IPFilter.dat
#
# All entered IP ranges will be blocked in eMule Plus for both Upload and Download.
# Be extremely careful with what you put here.
# Wrong entries might block eMule Plus from performing well.
#
# Format:
# IP-Range , Access Level , Description
# 000.000.000.000 - 000.255.255.255 , 100 , LOW_ID (invalid)
#
# Access Levels:
# <  127 blocked
# >= 127 permitted

255.255.255.255 - 255.255.255.255 , 000 , INADDR_NONE
000.000.000.000 - 000.255.255.255 , 100 , LOW_ID (invalid)
003.000.000.000 - 003.255.255.255 , 100 , General Electric Company
004.023.000.000 - 004.023.255.255 , 100 , IRC spybots
004.036.109.000 - 004.036.109.255 , 100 , Universal Studios Inc. UNIVORLANDO-109-24
004.042.244.160 - 004.042.244.175 , 100 , Federal Bureau of Investigation
004.042.244.192 - 004.042.244.223 , 100 , Federal Bureau of Investigation
004.043.096.000 - 004.043.096.255 , 100 , Media Force (P2P monitoring) (valid)
004.043.108.000 - 004.043.108.255 , 100 , IRC spybots
004.043.124.192 - 004.043.124.255 , 100 , MediaForce
004.067.043.000 - 004.067.043.255 , 100 , IRC spybots
011.000.000.000 - 011.255.255.255 , 100 , DoD Network Information Center
012.038.031.216 - 012.038.031.223 , 100 , Federal Bureau of Investigation
012.148.209.192 - 012.148.209.255 , 100 , NameProtect
012.150.191.000 - 012.150.191.255 , 100 , RIAA
018.215.000.015 - 018.215.000.015 , 100 , Massachusettes Institute Of Technology
020.000.000.000 - 020.255.255.255 , 100 , Computer Sciences Corporation
024.049.160.000 - 024.049.191.255 , 100 , Adelphia
024.053.096.000 - 024.053.111.255 , 100 , Adelphia
024.225.128.000 - 024.225.223.255 , 100 , Patriot-Media-Communications
025.000.000.000 - 025.255.255.255 , 100 , Royal Signals and Radar Establishment
029.000.000.000 - 029.255.255.255 , 100 , DoD Network Information Center
034.000.000.000 - 034.255.255.255 , 100 , Halliburton Company
038.144.057.000 - 038.144.057.255 , 100 , IRC spybots
038.144.198.024 - 038.144.198.024 , 100 , Replies with ..exe and !_.exe
038.144.198.150 - 038.144.198.150 , 100 , Replies with ..exe and !_.exe
051.000.000.000 - 051.255.255.255 , 100 , Department of Social Security of UK
053.000.000.000 - 053.255.255.255 , 100 , cap debis ccs
054.000.000.000 - 054.255.255.255 , 100 , Merck and Co., Inc
055.000.000.000 - 055.255.255.255 , 100 , Army National Guard Bureau
056.000.000.000 - 056.255.255.255 , 100 , U.S. Postal Service (state agency)
061.060.000.000 - 061.060.031.255 , 100 , Taiwan Government Service Network
061.062.000.000 - 061.062.255.255 , 100 , Sony NetTw Limited (add. range)
061.064.128.000 - 061.064.255.255 , 100 , Sony-Network-Taiwan-Limited and Hacking attempts on port 8575
061.088.128.038 - 061.088.128.038 , 100 , Australian Federal Police---
061.172.250.096 - 061.172.250.111 , 100 , SOFT-WORLD-INTERNATIONAL
061.197.225.096 - 061.197.225.128 , 100 , BSA.or.jp
061.197.255.096 - 061.197.255.211 , 100 , BSA.or.ip
061.206.130.240 - 061.206.130.255 , 100 , BSA.lu
062.072.107.000 - 062.072.107.255 , 100 , www.amcrecords.com
062.111.212.001 - 062.111.212.001 , 100 , eMule leecher
062.145.135.192 - 062.145.135.255 , 100 , BSA.is
062.156.146.128 - 062.156.147.127 , 100 , IFPI Germany
062.156.153.000 - 062.156.153.255 , 100 , IFPI Germany
062.210.138.000 - 062.210.138.255 , 100 , P2P Overflow
062.210.176.134 - 062.210.176.134 , 100 , Studios Guillaume Tell / Paris,France
063.064.005.000 - 063.064.005.255 , 100 , Cyveillance (P2P monitoring)
063.076.173.032 - 063.076.173.047 , 100 , MediaForce
063.087.238.000 - 063.087.239.255 , 100 , NMPA (National Music Publishers Association)
063.100.163.000 - 063.100.163.255 , 100 , CYVEILLANCE (unlisted)
063.127.255.000 - 063.127.255.255 , 100 , Cyveillance
063.148.099.000 - 063.148.099.255 , 100 , Cyveillance (63.148.99.224 - 63.148.99.255)
063.199.057.096 - 063.199.057.128 , 100 , MPAA Phoenix Manufacturing
063.212.171.000 - 063.212.171.255 , 100 , Web Sense
063.236.052.020 - 063.236.052.020 , 100 , Xupiter.com - Site
063.240.000.000 - 063.240.255.255 , 100 , FBI
063.242.000.000 - 063.242.255.255 , 100 , FBI
064.014.037.128 - 064.014.037.159 , 100 , OverPeer
064.014.040.160 - 064.014.040.191 , 100 , OverPeer
064.015.224.000 - 064.015.255.255 , 100 , OverPeer
064.032.128.000 - 064.032.255.255 , 100 , IRMA (Mail)
064.049.254.000 - 064.049.254.255 , 100 , Big Champagne
064.062.000.000 - 064.062.127.255 , 100 , Sony Taiwan Host
064.062.143.064 - 064.062.143.095 , 100 , Audible Magic #2
064.071.166.000 - 064.071.166.255 , 100 , Audible Magic #3
064.075.004.192 - 064.075.004.223 , 100 , OverPeer
064.094.089.000 - 064.094.089.255 , 100 , Gator.com
064.106.170.128 - 064.106.170.192 , 100 , C&DCop (Warner)
064.152.000.000 - 064.152.255.255 , 100 , IRMA
064.153.000.000 - 064.153.255.255 , 100 , IRMA
064.158.221.050 - 064.158.221.050 , 100 , IRMA
064.159.002.041 - 064.159.002.041 , 100 , Presence Studios Westport/Westport, CT
064.166.187.128 - 064.166.187.192 , 100 , MPAA
064.201.096.000 - 064.201.111.255 , 100 , Race Technologies P2P Scanners
064.208.086.128 - 064.208.086.159 , 100 , Conway Recording Studios/Hollywood/Los Angeles, CA
064.224.000.000 - 064.224.255.255 , 100 , MPAA
064.225.000.000 - 064.225.255.255 , 100 , MPAA
064.226.000.000 - 064.226.255.255 , 100 , MPAA
064.227.000.000 - 064.227.255.255 , 100 , MPAA
064.236.032.050 - 064.236.032.050 , 100 , xupiter.com
064.241.031.000 - 064.241.031.255 , 100 , RIAA
065.101.193.000 - 065.101.193.255 , 100 , media signature Virtual Portal Corporation
065.118.041.000 - 065.118.041.255 , 100 , Cyveillance (P2P monitoring)
065.160.000.000 - 065.160.127.225 , 100 , OverPeer
065.174.000.000 - 065.174.253.255 , 100 , OverPeer
065.174.254.000 - 065.174.255.255 , 100 , BAY SOFTWARE
